time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm,sensor_id
1702058400,31.0,77.0,3.098,3.244,23647
1702029600,30.0,76.867,5.156,5.413,23647
1701997200,33.0,77.0,10.196,10.79,23647
1702054800,30.767,76.966,3.798,4.069,23647
1702004400,32.0,76.966,3.163,3.433,23647
1702033200,30.0,76.233,5.394,5.675,23647
1702072800,30.066,77.0,2.66,2.869,23647
1702036800,30.0,75.966,5.896,6.298,23647
1702011600,31.534,76.867,4.184,4.444,23647
1702044000,30.8,76.334,6.88,7.295,23647
1701993600,31.166,77.0,22.101,23.797,23647
1702040400,30.0,76.0,6.857,7.271,23647
1702065600,30.0,77.6,2.615,2.782,23647
1702008000,32.0,76.966,3.479,3.677,23647
1702018800,31.0,77.0,4.244,4.505,23647
1702026000,30.0,76.934,4.873,5.162,23647
1702047600,30.4,76.966,7.433,7.858,23647
1702022400,30.334,77.0,4.45,4.671,23647
1702062000,30.1,77.166,2.839,2.997,23647
1702015200,31.0,77.0,4.236,4.498,23647
1702076400,30.7,77.566,3.625,3.893,23647
1702051200,30.367,77.0,5.273,5.546,23647
1702069200,30.0,77.0,2.45,2.686,23647
1702000800,32.666,77.0,4.518,4.835,23647
1701262800,25.966,73.0,1.843,1.94,23647
1701266400,25.633,73.0,1.923,2.096,23647
1701252000,25.0,73.0,1.548,1.651,23647
1701280800,25.0,73.7,0.383,0.483,23647
1701216000,24.8,74.0,9.935,10.55,23647
1701298800,26.133,74.0,1.127,1.297,23647
1701291600,26.7,74.0,0.321,0.424,23647
1701284400,26.0,74.0,0.281,0.369,23647
1701237600,25.834,74.0,0.969,1.073,23647
1701295200,26.034,73.934,0.429,0.513,23647
1701248400,25.0,72.934,1.421,1.474,23647
1701255600,25.0,73.0,1.487,1.591,23647
1701277200,25.4,73.9,0.916,0.987,23647
1701259200,25.267,72.934,1.848,1.914,23647
1701230400,26.0,74.0,1.048,1.129,23647
1701223200,26.2,74.0,1.937,2.064,23647
1701241200,25.166,74.0,1.396,1.493,23647
1701270000,26.0,73.0,1.271,1.384,23647
1701226800,26.5,74.0,1.292,1.381,23647
1701219600,25.1,73.966,3.806,4.082,23647
1701234000,26.0,74.0,1.034,1.11,23647
1701244800,25.0,73.966,1.399,1.486,23647
1701288000,26.8,74.0,0.164,0.23,23647
1701273600,26.267,73.867,0.895,0.992,23647
1701417600,29.0,76.0,2.593,2.748,23647
1701446400,29.733,76.034,3.57,3.748,23647
1701410400,29.8,76.0,2.294,2.415,23647
1701403200,30.834,76.233,1.877,2.018,23647
1701450000,30.0,76.9,3.591,3.737,23647
1701424800,29.0,76.0,3.268,3.483,23647
1701435600,29.133,76.3,4.717,5.003,23647
1701453600,30.934,76.966,3.839,4.102,23647
1701406800,30.267,76.166,2.069,2.178,23647
1701468000,31.0,77.0,4.639,4.878,23647
1701399600,29.3,76.034,3.496,3.667,23647
1701392400,30.3,77.0,12.329,12.572,23647
1701414000,29.034,76.0,2.296,2.439,23647
1701457200,31.0,76.966,4.288,4.518,23647
1701421200,29.0,76.0,2.761,2.885,23647
1701432000,29.633,77.0,3.362,3.55,23647
1701471600,31.0,76.9,5.812,5.947,23647
1701442800,28.8,75.966,4.53,4.786,23647
1701388800,29.633,76.367,7.271,7.49,23647
1701396000,29.966,77.0,5.666,5.857,23647
1701439200,28.466,76.0,4.319,4.527,23647
1701460800,31.0,77.0,4.309,4.556,23647
1701464400,31.0,77.0,3.936,4.11,23647
1701428400,29.0,76.566,3.244,3.433,23647
1701378000,28.0,76.0,1.822,1.917,23647
1701331200,26.0,74.0,2.157,2.256,23647
1701381600,28.0,76.0,1.293,1.419,23647
1701345600,26.4,73.966,2.696,2.908,23647
1701334800,26.0,73.966,2.271,2.437,23647
1701324000,26.0,74.0,3.326,3.486,23647
1701320400,26.233,74.0,6.081,6.367,23647
1701316800,27.0,74.233,10.011,10.385,23647
1701352800,27.0,74.0,1.748,1.922,23647
1701342000,26.0,74.0,2.697,2.866,23647
1701360000,28.0,75.0,1.576,1.768,23647
1701313200,27.0,74.934,8.809,9.253,23647
1701356400,27.534,74.7,1.674,1.865,23647
1701385200,28.4,75.966,3.844,3.986,23647
1701309600,27.633,74.966,8.248,8.625,23647
1701349200,27.0,74.0,2.036,2.232,23647
1701327600,26.0,74.0,2.498,2.629,23647
1701374400,28.0,76.0,1.925,2.037,23647
1701370800,28.0,75.966,1.935,2.087,23647
1701302400,27.966,74.066,13.823,14.58,23647
1701367200,28.0,75.633,1.764,1.905,23647
1701338400,26.0,74.0,2.27,2.409,23647
1701306000,28.0,74.934,8.997,9.456,23647
1701363600,28.0,74.966,1.655,1.845,23647
1700852400,31.9,79.0,6.485,6.813,23647
1700834400,32.8,78.533,6.306,6.62,23647
1700816400,32.933,78.0,5.322,5.524,23647
1700798400,34.0,79.0,20.932,22.099,23647
1700823600,32.267,78.0,5.758,5.96,23647
1700848800,31.966,79.0,7.108,7.581,23647
1700859600,32.267,78.5,11.899,12.332,23647
1700784000,32.767,79.966,129.46,153.401,23647
1700856000,31.933,79.0,7.986,8.31,23647
1700812800,33.0,78.0,5.509,5.696,23647
1700794800,34.3,79.5,31.653,35.622,23647
1700805600,32.766,78.034,9.02,9.403,23647
1700802000,34.0,79.0,13.87,14.477,23647
1700791200,34.8,80.0,42.806,52.558,23647
1700845200,32.533,79.5,8.812,9.396,23647
1700863200,34.733,77.1,12.418,13.021,23647
1700827200,32.6,78.0,6.229,6.518,23647
1700830800,32.966,77.934,6.253,6.479,23647
1700820000,32.2,78.0,5.399,5.569,23647
1700809200,33.0,78.0,6.26,6.564,23647
1700787600,33.7,79.834,65.637,76.088,23647
1700841600,32.167,78.966,10.609,11.25,23647
1700866800,35.034,78.0,12.045,12.882,23647
1700838000,32.933,79.0,6.351,6.64,23647
1701990000,30.0,76.133,1.84,1.956,23647
1701961200,28.0,76.133,1.211,1.308,23647
1701918000,28.666,77.0,5.833,6.385,23647
1701975600,30.466,76.966,1.067,1.208,23647
1701914400,28.6,77.0,2.635,2.89,23647
1701939600,27.233,76.0,1.318,1.393,23647
1701936000,27.733,76.367,1.539,1.612,23647
1701968400,29.0,76.867,1.109,1.265,23647
1701972000,29.434,77.0,1.186,1.325,23647
1701964800,28.834,76.9,1.105,1.188,23647
1701979200,31.467,76.166,1.833,2.163,23647
1701982800,31.0,76.0,1.567,1.732,23647
1701921600,28.0,76.934,5.114,5.625,23647
1701950400,27.966,76.533,1.071,1.129,23647
1701925200,28.0,77.0,3.149,3.415,23647
1701954000,28.0,76.0,1.263,1.39,23647
1701928800,28.0,76.933,2.205,2.351,23647
1701907200,27.966,77.0,4.034,4.354,23647
1701932400,28.0,77.0,1.907,2.03,23647
1701910800,28.067,76.966,2.848,3.188,23647
1701957600,28.0,76.0,1.244,1.317,23647
1701943200,27.267,76.0,1.174,1.239,23647
1701946800,27.666,76.0,0.942,1.002,23647
1701986400,30.633,76.0,1.485,1.597,23647
1700967600,27.934,76.0,6.29,6.634,23647
1700964000,28.0,76.0,5.795,6.053,23647
1701007200,29.834,74.833,74.406,77.615,23647
1701014400,31.0,76.0,49.135,58.172,23647
1700982000,27.0,75.0,5.913,6.146,23647
1701018000,32.133,75.966,30.318,32.895,23647
1701010800,30.966,76.0,99.401,103.58,23647
1701028800,33.0,76.0,5.668,5.931,23647
1700989200,26.933,75.0,6.062,6.3,23647
1701021600,33.0,76.0,15.498,16.025,23647
1700985600,27.0,74.966,6.126,6.396,23647
1700992800,27.0,75.0,5.644,5.91,23647
1700996400,27.0,75.0,5.674,5.912,23647
1701025200,33.0,76.0,8.825,9.135,23647
1701032400,32.966,76.066,3.659,3.818,23647
1701036000,33.166,76.466,3.53,3.708,23647
1701003600,28.166,74.666,5.29,5.58,23647
1700956800,29.133,76.0,5.225,5.457,23647
1701000000,27.334,75.0,5.438,5.68,23647
1700960400,28.934,75.966,5.09,5.355,23647
1700974800,27.0,75.767,6.012,6.276,23647
1700978400,27.0,75.0,6.369,6.604,23647
1700971200,27.1,75.934,5.788,6.02,23647
1701039600,34.0,76.966,4.829,5.01,23647
1701813600,29.0,77.966,2.069,2.198,23647
1701777600,30.0,78.0,2.048,2.18,23647
1701795600,29.367,78.0,1.873,1.964,23647
1701810000,29.0,78.0,1.873,1.994,23647
1701802800,29.0,78.0,1.615,1.699,23647
1701759600,30.0,78.0,2.456,2.545,23647
1701784800,30.0,78.0,1.373,1.486,23647
1701781200,29.966,77.966,1.9,2.085,23647
1701766800,30.0,78.0,1.539,1.619,23647
1701752400,30.0,78.0,4.376,4.555,23647
1701792000,29.0,77.966,1.701,1.816,23647
1701763200,30.0,78.0,1.814,1.863,23647
1701817200,28.934,78.0,6.126,6.391,23647
1701799200,29.367,78.0,1.783,1.869,23647
1701745200,30.0,79.0,7.715,7.957,23647
1701738000,30.934,79.0,21.52,22.29,23647
1701806400,29.0,78.0,1.766,1.859,23647
1701741600,30.133,79.0,12.444,12.84,23647
1701788400,29.267,78.0,1.309,1.406,23647
1701734400,30.3,79.0,16.492,18.195,23647
1701774000,30.0,78.0,1.581,1.668,23647
1701756000,30.0,78.0,3.233,3.354,23647
1701770400,30.0,78.0,1.433,1.51,23647
1701748800,30.0,78.733,5.51,5.751,23647
1700769600,35.3,79.1,5.108,5.603,23647
1700730000,32.067,79.0,0.004,0.014,23647
1700758800,33.166,80.0,6.855,7.419,23647
1700726400,32.8,79.0,0.009,0.033,23647
1700755200,33.1,79.6,8.764,9.376,23647
1700766000,35.5,79.367,6.503,7.163,23647
1700708400,33.966,79.966,2.233,2.425,23647
1700780400,35.7,79.966,21.492,23.997,23647
1700722800,33.0,79.0,0.029,0.05,23647
1700697600,33.067,79.9,8.902,9.238,23647
1700704800,33.966,80.0,4.413,4.633,23647
1700737200,31.233,78.767,0.16,0.194,23647
1700715600,33.034,79.0,0.512,0.589,23647
1700719200,32.966,79.0,0.11,0.174,23647
1700748000,32.3,79.2,30.48,34.41,23647
1700733600,32.0,79.0,0.005,0.014,23647
1700744400,31.966,79.0,4.194,4.749,23647
1700712000,33.833,79.466,1.48,1.639,23647
1700751600,32.034,79.9,22.014,24.793,23647
1700762400,33.067,80.0,7.284,7.957,23647
1700776800,35.267,79.8,15.162,15.576,23647
1700701200,33.867,80.0,6.641,6.96,23647
1700773200,35.0,79.966,13.152,14.232,23647
1700740800,31.4,78.867,0.49,0.602,23647
1701864000,29.0,77.833,6.4,6.612,23647
1701900000,28.0,77.0,0.891,0.992,23647
1701860400,29.0,78.0,6.059,6.306,23647
1701867600,29.034,78.0,6.958,7.332,23647
1701835200,29.0,78.0,9.146,9.355,23647
1701831600,29.0,78.0,16.62,17.014,23647
1701842400,29.0,78.0,5.597,5.761,23647
1701849600,29.0,78.0,5.546,5.748,23647
1701871200,29.0,77.1,6.95,7.203,23647
1701856800,29.0,78.0,6.228,6.47,23647
1701853200,29.0,78.0,5.835,6.084,23647
1701838800,29.0,78.0,6.52,6.696,23647
1701903600,28.067,77.0,7.569,8.347,23647
1701820800,29.367,78.267,29.982,34.059,23647
1701828000,29.0,78.0,34.636,38.727,23647
1701874800,29.0,77.133,5.063,5.379,23647
1701889200,28.0,77.0,1.986,2.109,23647
1701878400,29.0,77.0,4.011,4.187,23647
1701882000,28.933,77.0,3.721,3.88,23647
1701892800,27.767,76.966,1.54,1.698,23647
