time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm,sensor_id
1701723600,30.6,78.633,1.5234999999999999,1.7930000000000001,108208
1701702000,37.666,81.0,0.019,0.0995,108208
1701669600,38.0,78.367,0.0,0.0165,108208
1701709200,37.0,80.733,0.0,0.057999999999999996,108208
1701712800,35.666,80.066,0.186,0.2525,108208
1701687600,36.167,78.733,0.0,0.013,108208
1701730800,33.8,80.0,0.036500000000000005,0.2205,108208
1701648000,40.0,80.733,0.032,0.1675,108208
1701680400,37.0,78.767,0.001,0.0045000000000000005,108208
1701414000,30.0,76.834,0.08449999999999999,0.20900000000000002,108208
1701453600,30.0,77.733,0.9584999999999999,1.2915,108208
1701417600,29.6,77.0,0.041999999999999996,0.1275,108208
1701446400,30.8,78.367,0.442,0.715,108208
1701396000,28.6,78.4,0.0075,0.07700000000000001,108208
1701410400,30.0,76.8,0.175,0.33199999999999996,108208
1701457200,30.3,78.0,0.6685000000000001,0.984,108208
1701468000,33.2,78.966,5.185,8.3065,108208
1701399600,29.966,78.0,0.0285,0.1215,108208
1701442800,31.0,77.6,0.1005,0.257,108208
1701471600,32.9,79.0,0.39,0.6785,108208
1701428400,29.0,77.0,0.025500000000000002,0.078,108208
1701388800,29.666,77.8,0.017,0.2135,108208
1701421200,29.066,76.966,0.0205,0.074,108208
1701464400,31.834,78.966,0.307,0.542,108208
1701432000,29.0,76.767,0.0355,0.1045,108208
1701424800,29.066,76.8,0.006500000000000001,0.040999999999999995,108208
1701435600,30.533,76.466,0.245,0.454,108208
1701392400,29.0,78.133,0.0,0.023,108208
1701406800,30.0,77.467,0.094,0.264,108208
1701439200,31.767,77.566,0.10550000000000001,0.2625,108208
1701450000,30.0,78.534,0.8959999999999999,1.2365,108208
1701403200,30.0,77.767,0.011,0.0995,108208
1701460800,31.367,78.2,0.443,0.7,108208
1701781200,33.867,77.966,0.0815,0.20650000000000002,108208
1701748800,35.0,79.0,0.023,0.094,108208
1701770400,34.0,77.5,0.002,0.041999999999999996,108208
1701774000,33.966,77.0,0.0,0.018500000000000003,108208
1701766800,34.0,78.0,0.0095,0.036000000000000004,108208
1701806400,33.0,79.0,0.0005,0.024999999999999998,108208
1701795600,34.0,78.8,0.0475,0.1705,108208
1701784800,34.1,78.367,0.0055,0.0305,108208
1701752400,35.0,78.733,0.0165,0.0625,108208
1701738000,35.834,79.7,0.3195,0.5965,108208
1701810000,33.0,78.733,0.0015,0.0245,108208
1701799200,34.0,79.0,0.031,0.133,108208
1701741600,35.166,80.0,0.0765,0.199,108208
1701763200,34.0,78.0,0.007,0.05500000000000001,108208
1701734400,34.034,79.867,0.15050000000000002,0.312,108208
1701759600,34.0,78.0,0.0075,0.061,108208
1701745200,35.0,78.966,0.046,0.139,108208
1701792000,34.0,79.0,0.009999999999999998,0.07450000000000001,108208
1701817200,33.1,78.834,0.41300000000000003,0.6225,108208
1701813600,33.0,77.834,0.0,0.027500000000000004,108208
1701802800,33.2,78.8,0.003,0.042,108208
1701756000,34.633,78.0,0.007,0.0245,108208
1701788400,34.7,79.0,0.0,0.0185,108208
1701777600,33.733,77.4,0.0005,0.039,108208
1700938800,24.0,75.0,1.7469999999999999,2.135,108208
1700935200,24.0,74.2,1.82,2.211,108208
1700920800,24.834,74.0,1.208,1.5219999999999998,108208
1700949600,24.0,73.767,2.359,2.7905,108208
1700928000,24.0,73.966,1.704,2.019,108208
1700953200,24.0,74.0,4.053,4.7335,108208
1700899200,26.0,74.4,1.9795,2.273,108208
1700874000,27.0,76.0,5.5969999999999995,6.1419999999999995,108208
1700870400,27.0,75.767,5.9805,6.801,108208
1700906400,25.0,74.0,1.5995,1.9355,108208
1700931600,24.0,73.8,1.621,1.95,108208
1700917200,25.0,74.0,1.323,1.581,108208
1700924400,24.0,73.733,1.6115,1.9224999999999999,108208
1700942400,24.0,74.933,1.802,2.109,108208
1700888400,26.0,75.0,3.2035,3.69,108208
1700902800,25.7,73.534,1.7610000000000001,1.9780000000000002,108208
1700913600,25.0,74.0,1.435,1.6875,108208
1700892000,26.0,75.0,2.6715,3.0564999999999998,108208
1700910000,25.0,74.0,1.436,1.685,108208
1700946000,24.0,74.166,1.9135,2.2945,108208
1700877600,26.966,75.966,5.076499999999999,5.593999999999999,108208
1700884800,26.0,74.966,3.723,4.2155000000000005,108208
1700881200,26.4,75.733,4.4365000000000006,4.9265,108208
1700895600,26.0,74.966,2.375,2.724,108208
1702069200,31.034,78.133,2.2809999999999997,2.754,108208
1702011600,33.0,77.3,0.093,0.2815,108208
1702000800,32.966,79.0,0.0,0.049999999999999996,108208
1702015200,33.0,77.0,0.051,0.16299999999999998,108208
1702018800,33.0,77.0,0.08199999999999999,0.2345,108208
1702062000,31.633,77.8,0.32499999999999996,0.5265,108208
1702076400,32.133,78.966,4.0005,4.768000000000001,108208
1702065600,31.0,78.0,0.197,0.36150000000000004,108208
1702040400,33.733,77.767,0.028999999999999998,0.1405,108208
1702004400,33.0,77.966,0.009,0.078,108208
1701997200,32.466,78.7,0.0045,0.0535,108208
1702008000,33.0,77.966,0.027,0.1195,108208
1702036800,33.567,77.934,0.009,0.0945,108208
1702051200,32.2,77.1,0.41000000000000003,0.6985,108208
1702072800,32.066,78.7,11.6555,13.6655,108208
1702047600,33.0,77.367,0.5700000000000001,0.8915,108208
1702054800,31.633,77.0,0.5945,0.8565,108208
1702044000,33.3,78.0,0.182,0.2955,108208
1702058400,31.733,77.733,0.6845,0.9744999999999999,108208
1702022400,33.0,77.0,0.026500000000000003,0.0965,108208
1701993600,32.334,78.066,0.0,0.020499999999999997,108208
1702033200,33.034,77.0,0.0045000000000000005,0.0845,108208
1702026000,32.766,77.0,0.037000000000000005,0.1015,108208
1702029600,32.467,77.0,0.016,0.07350000000000001,108208
1700564400,26.0,74.0,1.7435,2.0995,108208
1700571600,26.0,73.9,1.388,1.7195,108208
1700593200,28.466,74.0,1.8639999999999999,2.3885,108208
1700596800,29.0,74.767,1.5505,2.0475,108208
1700568000,26.0,73.8,1.504,1.8305,108208
1700560800,26.0,73.966,2.2285,2.6079999999999997,108208
1700575200,26.0,73.966,1.2839999999999998,1.6484999999999999,108208
1700557200,26.0,74.0,2.6814999999999998,3.1870000000000003,108208
1700607600,30.6,74.966,1.057,1.3505,108208
1700553600,26.0,74.267,3.216,3.781,108208
1700546400,26.0,75.0,3.4715,4.0205,108208
1700604000,30.0,74.9,1.0430000000000001,1.3435000000000001,108208
1700586000,27.3,73.767,2.5295,2.988,108208
1700578800,26.2,74.0,1.893,2.2975000000000003,108208
1700582400,27.0,74.0,2.186,2.739,108208
1700589600,28.0,74.0,2.3815,2.8955,108208
1700550000,26.0,75.0,3.539,4.106,108208
1700542800,26.0,74.767,3.6625,4.199,108208
1700600400,30.0,74.566,1.315,1.6589999999999998,108208
1700838000,27.966,76.3,4.1355,4.657,108208
1700841600,27.9,77.0,4.307,4.792,108208
1700791200,28.0,76.767,3.1275,3.5555000000000003,108208
1700787600,28.0,77.0,2.217,2.4825,108208
1700856000,27.0,76.966,4.4895,4.944,108208
1700820000,28.0,75.5,3.6500000000000004,4.0035,108208
1700848800,27.0,76.934,4.359,4.8665,108208
1700845200,27.0,77.0,4.827,4.9079999999999995,108208
1700805600,28.0,76.1,3.818,4.2245,108208
1700834400,28.0,76.0,3.908,4.3695,108208
1700830800,28.0,76.0,3.944,4.5,108208
1700794800,28.0,76.767,3.838,4.276,108208
1700802000,28.0,76.633,3.992,4.5295000000000005,108208
1700809200,28.0,75.867,3.6639999999999997,4.0645,108208
1700863200,27.0,76.4,5.443,5.9755,108208
1700784000,28.0,77.0,1.8355,2.0685000000000002,108208
1700866800,27.0,76.0,6.1325,6.6745,108208
1700827200,28.0,75.767,3.9015,4.359500000000001,108208
1700823600,28.0,75.9,3.793,4.1985,108208
1700812800,28.0,75.767,3.5355,3.982,108208
1700816400,28.0,75.8,3.59,4.008,108208
1700852400,27.034,76.767,4.518,5.002,108208
1700859600,27.0,76.767,4.8735,5.397,108208
1700798400,28.0,77.0,4.0535,4.556,108208
1701529200,34.433,78.966,0.024,0.1275,108208
