time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm,sensor_id
1701921600,25.367,79.067,13.97,14.849,183463
1701975600,23.566,80.934,1.862,1.953,183463
1701968400,24.367,80.4,2.371,2.606,183463
1701914400,24.634,79.8,2.38,2.57,183463
1701939600,25.0,78.934,8.518,9.138,183463
1701943200,24.334,78.8,4.57,4.877,183463
1701979200,23.4,81.0,1.627,1.794,183463
1701928800,25.2,79.034,6.224,6.658,183463
1701946800,24.0,78.933,2.383,2.522,183463
1701954000,23.6,79.133,2.292,2.509,183463
1701961200,23.467,79.6,5.309,5.671,183463
1701990000,23.966,80.966,3.271,3.511,183463
1701925200,25.7,79.1,8.141,8.557,183463
1701910800,24.9,79.733,2.579,2.829,183463
1701918000,25.3,79.267,6.662,7.118,183463
1701964800,24.833,80.233,3.047,3.327,183463
1701907200,24.066,79.8,1.634,1.778,183463
1701972000,23.867,80.8,1.869,2.027,183463
1701950400,23.6,79.233,1.944,2.039,183463
1701986400,23.334,81.0,1.768,1.948,183463
1701982800,23.267,81.0,1.933,2.066,183463
1701932400,25.233,78.566,4.512,4.712,183463
1701957600,23.366,79.466,4.086,4.38,183463
1701936000,25.066,78.834,6.424,6.681,183463
1702022400,25.133,79.966,5.393,5.823,183463
1702069200,25.233,82.834,2.881,3.143,183463
1702072800,25.833,82.566,3.846,4.167,183463
1702062000,25.433,82.8,3.542,3.817,183463
1701997200,25.267,80.666,4.292,4.632,183463
1702026000,25.066,80.034,5.077,5.365,183463
1702076400,26.767,82.2,5.357,5.816,183463
1702051200,24.5,81.1,7.651,8.134,183463
1702036800,24.875,79.883,5.39,5.761,183463
1702065600,25.4,82.6,2.532,2.744,183463
1702008000,26.066,80.867,15.898,17.043,183463
1702033200,25.0,79.934,5.164,5.503,183463
1702054800,24.533,81.867,3.947,4.11,183463
1702058400,25.3,82.767,4.528,4.857,183463
1702018800,25.433,80.0,5.489,5.831,183463
1702044000,24.233,80.2,9.306,9.854,183463
1702040400,24.366,80.0,5.663,5.994,183463
1702047600,24.2,80.666,10.166,10.746,183463
1702029600,25.166,79.9,4.876,5.193,183463
1702000800,25.034,80.834,4.412,4.716,183463
