name,hour,iaqi_value
DC2023-10,0,60.05175438596491
DC2023-10,1,60.895370370370365
DC2023-10,2,62.20648148148148
DC2023-10,3,63.91203703703704
DC2023-10,4,65.5287037037037
DC2023-10,5,67.34074074074073
DC2023-10,6,69.3648148148148
DC2023-10,7,71.2462962962963
DC2023-10,8,72.81481481481482
DC2023-10,9,74.00462962962962
DC2023-10,10,74.80833333333334
DC2023-10,11,74.59907407407407
DC2023-10,12,72.45648148148149
DC2023-10,13,71.65648148148148
DC2023-10,14,72.19166666666666
DC2023-10,15,71.9037037037037
DC2023-10,16,71.2212962962963
DC2023-10,17,74.33518518518518
DC2023-10,18,75.61111111111111
DC2023-10,19,75.96574074074074
DC2023-10,20,76.45462962962964
DC2023-10,21,76.85
DC2023-10,22,66.46944444444445
DC2023-10,23,60.696296296296296
DC2023-11,0,69.44537037037037
DC2023-11,1,66.62450980392157
DC2023-11,2,73.35882352941177
DC2023-11,3,75.81372549019609
DC2023-11,4,77.55
DC2023-11,5,79.92494184114324
DC2023-11,6,82.15812324929972
DC2023-11,7,84.5625
DC2023-11,8,84.528125
DC2023-11,9,83.240625
DC2023-11,10,85.41354166666667
DC2023-11,11,84.64791666666667
DC2023-11,12,81.11354166666666
DC2023-11,13,78.96979166666667
DC2023-11,14,81.084375
DC2023-11,15,74.503125
DC2023-11,16,76.02604166666667
DC2023-11,17,80.54375
DC2023-11,18,85.23333333333333
DC2023-11,19,85.19791666666667
DC2023-11,20,82.86874999999999
DC2023-11,21,71.496875
DC2023-11,22,70.75520833333333
DC2023-11,23,73.19477124183007
DC2023-15,0,68.51578947368421
DC2023-15,1,61.763888888888886
DC2023-15,2,63.1824074074074
DC2023-15,3,65.91388888888889
DC2023-15,4,69.11851851851851
DC2023-15,5,70.4574074074074
DC2023-15,6,70.43703703703703
DC2023-15,7,69.84074074074074
DC2023-15,8,69.90462962962962
DC2023-15,9,69.83703703703704
DC2023-15,10,69.82499999999999
DC2023-15,11,69.45648148148149
DC2023-15,12,66.46018518518518
DC2023-15,13,62.17314814814816
DC2023-15,14,63.71574074074075
DC2023-15,15,65.83055555555556
DC2023-15,16,69.05382925298179
DC2023-15,17,71.80000000000001
DC2023-15,18,71.19907407407408
DC2023-15,19,74.00833333333334
DC2023-15,20,78.64166666666667
DC2023-15,21,79.77962962962962
DC2023-15,22,75.09166666666667
DC2023-15,23,72.28518518518518
DC2023-22,0,44.35438596491228
DC2023-22,1,33.35092592592592
DC2023-22,2,38.47592592592592
