name,hour,iaqi_value
DC2023-18,0,54.00892903901545
DC2023-18,1,50.17647520401758
DC2023-18,2,47.15833333333333
DC2023-18,3,45.98425925925926
DC2023-18,4,44.87777777777777
DC2023-18,5,45.181481481481484
DC2023-18,6,47.17407407407407
DC2023-18,7,49.65163214061519
DC2023-18,8,51.959259259259255
DC2023-18,9,54.041666666666664
DC2023-18,10,55.053703703703704
DC2023-18,11,55.47314814814815
DC2023-18,12,54.47777777777778
DC2023-18,13,52.175925925925924
DC2023-18,14,46.77037037037037
DC2023-18,15,41.68611111111111
DC2023-18,16,44.99907407407407
DC2023-18,17,50.01851851851852
DC2023-18,18,52.78504394224733
DC2023-18,19,55.565740740740736
DC2023-18,20,61.90833333333334
DC2023-18,21,63.540740740740745
DC2023-18,22,62.0074074074074
DC2023-18,23,56.64809368191722
DC2023-36,0,75.28157894736842
DC2023-36,1,72.31481481481482
DC2023-36,2,74.14722222222223
DC2023-36,3,69.97777777777777
DC2023-36,4,67.99444444444445
DC2023-36,5,70.13148148148147
DC2023-36,6,72.89722222222223
DC2023-36,7,75.14166666666667
DC2023-36,8,76.3712962962963
DC2023-36,9,77.14444444444445
DC2023-36,10,77.68333333333334
DC2023-36,11,76.78703703703704
DC2023-36,12,77.98611111111111
DC2023-36,13,77.35555555555555
DC2023-36,14,74.64087301587301
DC2023-36,15,74.97962962962964
DC2023-36,16,75.98703703703704
DC2023-36,17,77.18981481481482
DC2023-36,18,78.73148148148148
DC2023-36,19,78.53607972379159
DC2023-36,20,77.35648148148148
DC2023-36,21,76.85047080979285
DC2023-36,22,77.96203703703704
DC2023-36,23,76.24074074074073
