name,hour,iaqi_value
DC2023-06,0,86.01228070175439
DC2023-06,1,86.49814814814815
DC2023-06,2,86.51388888888889
DC2023-06,3,86.53796296296296
DC2023-06,4,86.70185185185186
DC2023-06,5,87.17314814814814
DC2023-06,6,87.78888888888889
DC2023-06,7,88.16111111111111
DC2023-06,8,88.70277777777778
DC2023-06,9,89.075
DC2023-06,10,89.1324074074074
DC2023-06,11,89.53796296296296
DC2023-06,12,89.30833333333334
DC2023-06,13,89.02222222222223
DC2023-06,14,88.56666666666666
DC2023-06,15,88.25277777777778
DC2023-06,16,88.01666666666667
DC2023-06,17,87.61203703703704
DC2023-06,18,87.12592592592593
DC2023-06,19,86.99074074074073
DC2023-06,20,86.69999999999999
DC2023-06,21,86.1962962962963
DC2023-06,22,85.65
DC2023-06,23,85.70185185185184
DC2023-08,0,75.40438596491228
DC2023-08,1,73.77777777777777
DC2023-08,2,77.91111111111111
DC2023-08,3,79.75555555555555
DC2023-08,4,84.31203703703703
DC2023-08,5,86.70925925925926
DC2023-08,6,87.05740740740741
DC2023-08,7,89.0712962962963
DC2023-08,8,90.22685185185185
DC2023-08,9,90.53703703703704
DC2023-08,10,89.60555555555555
DC2023-08,11,89.4638888888889
DC2023-08,12,88.38240740740741
DC2023-08,13,89.52962962962962
DC2023-08,14,88.41574074074074
DC2023-08,15,86.23148148148148
DC2023-08,16,83.05092592592592
DC2023-08,17,83.39722222222223
DC2023-08,18,82.5638888888889
DC2023-08,19,80.1462962962963
DC2023-08,20,79.51203703703703
DC2023-08,21,79.10092592592592
DC2023-08,22,78.21481481481482
DC2023-08,23,79.02037037037037
DC2023-21,0,50.107894736842105
DC2023-21,1,54.66481481481482
DC2023-21,2,55.986111111111114
DC2023-21,3,59.67314814814816
DC2023-21,4,59.85740740740741
DC2023-21,5,60.039500941619586
DC2023-21,6,59.580555555555556
DC2023-21,7,60.04907407407407
DC2023-21,8,60.673148148148144
DC2023-21,9,61.236111111111114
DC2023-21,10,61.897222222222226
DC2023-21,11,62.37222222222223
DC2023-21,12,60.46944444444445
DC2023-21,13,46.72962962962963
DC2023-21,14,50.855555555555554
DC2023-21,15,55.82592592592593
DC2023-21,16,58.20740740740741
DC2023-21,17,55.83611111111111
DC2023-21,18,56.89259259259259
DC2023-21,19,59.39629629629629
DC2023-21,20,58.73937539234149
DC2023-21,21,54.59814814814815
DC2023-21,22,45.53148148148148
DC2023-21,23,46.10462962962963
DC2023-26,0,76.10438596491228
DC2023-26,1,77.92592592592592
DC2023-26,2,79.00277777777778
DC2023-26,3,81.60555555555555
DC2023-26,4,83.1148148148148
DC2023-26,5,84.28796296296296
DC2023-26,6,84.18796296296296
DC2023-26,7,84.53518518518518
DC2023-26,8,84.59814814814814
DC2023-26,9,84.85925925925926
DC2023-26,10,85.10925925925926
DC2023-26,11,85.35370370370372
DC2023-26,12,84.89074074074074
DC2023-26,13,84.73055555555555
DC2023-26,14,84.29351851851851
DC2023-26,15,84.3111111111111
DC2023-26,16,83.54537037037036
DC2023-26,17,82.37962962962962
DC2023-26,18,82.04907407407407
DC2023-26,19,81.64306340238544
DC2023-26,20,79.5324074074074
DC2023-26,21,78.69814814814815
DC2023-26,22,77.65648148148148
DC2023-26,23,75.25277777777778
DC2023-47,0,67.23684210526316
DC2023-47,1,70.36296296296297
DC2023-47,2,70.26111111111112
DC2023-47,3,72.2712962962963
DC2023-47,4,73.57222222222222
DC2023-47,5,79.31296296296296
DC2023-47,6,81.91018518518518
DC2023-47,7,83.3212962962963
DC2023-47,8,84.54166666666667
DC2023-47,9,85.35925925925926
DC2023-47,10,85.73888888888888
DC2023-47,11,85.68425925925925
DC2023-47,12,80.47037037037038
DC2023-47,13,80.19351851851852
DC2023-47,14,78.2537037037037
DC2023-47,15,79.82037037037037
DC2023-47,16,81.21299283154121
DC2023-47,17,79.96203703703704
DC2023-47,18,76.31944444444444
DC2023-47,19,78.8212962962963
DC2023-47,20,81.36388888888888
DC2023-47,21,80.83333333333333
DC2023-47,22,80.31203703703703
DC2023-47,23,71.72037037037038
