name,hour,iaqi_value
DC2023-30,0,80.92894736842106
DC2023-30,1,80.35648148148148
DC2023-30,2,82.20370370370371
DC2023-30,3,84.5611111111111
DC2023-30,4,86.3111111111111
DC2023-30,5,84.74537037037038
DC2023-30,6,83.53333333333333
DC2023-30,7,84.37222222222222
DC2023-30,8,85.48240740740741
DC2023-30,9,85.68703703703704
DC2023-30,10,85.51296296296296
DC2023-30,11,84.77407407407408
DC2023-30,12,83.53888888888889
DC2023-30,13,82.69259259259259
DC2023-30,14,84.92037037037036
DC2023-30,15,85.18148148148148
DC2023-30,16,85.82777777777778
DC2023-30,17,84.09814814814814
DC2023-30,18,82.05648148148148
DC2023-30,19,79.31759259259259
DC2023-30,20,82.2209667294413
DC2023-30,21,83.51851851851852
DC2023-30,22,83.6888888888889
DC2023-30,23,81.10607344632768
DC2023-41,0,82.55964912280702
DC2023-41,1,83.26388888888889
DC2023-41,2,83.4712962962963
DC2023-41,3,84.18518518518519
DC2023-41,4,85.17878217200251
DC2023-41,5,83.61111111111111
DC2023-41,6,83.6574074074074
DC2023-41,7,84.55185185185185
DC2023-41,8,85.80833333333334
DC2023-41,9,87.36666666666667
DC2023-41,10,88.5611111111111
DC2023-41,11,89.00462962962963
DC2023-41,12,88.66944444444444
DC2023-41,13,87.57777777777778
DC2023-41,14,86.94999999999999
DC2023-41,15,87.58425925925926
DC2023-41,16,88.3648148148148
DC2023-41,17,88.43518518518519
DC2023-41,18,87.7712962962963
DC2023-41,19,87.19074074074075
DC2023-41,20,86.36018518518519
DC2023-41,21,85.86018518518519
DC2023-41,22,83.2462962962963
DC2023-41,23,83.49722222222222
DC2023-50,0,84.53251561106156
DC2023-50,1,81.97962962962964
DC2023-50,2,82.12222222222222
DC2023-50,3,82.84285938480853
DC2023-50,4,84.69512621818818
DC2023-50,5,84.88148148148147
DC2023-50,6,85.27685185185186
DC2023-50,7,87.20092592592592
DC2023-50,8,88.18796296296296
DC2023-50,9,88.23240740740741
DC2023-50,10,88.36839080459771
DC2023-50,11,88.52689893283113
DC2023-50,12,87.78888888888889
DC2023-50,13,85.04444444444444
DC2023-50,14,85.16936597614564
DC2023-50,15,87.84817953546766
DC2023-50,16,89.37043422733079
DC2023-50,17,89.49907407407407
DC2023-50,18,87.37407407407407
DC2023-50,19,85.9037037037037
DC2023-50,20,85.4168549905838
DC2023-50,21,85.21980539861896
DC2023-50,22,84.63981481481481
DC2023-50,23,84.93981481481482
