name,hour,iaqi_value
DC2023-19,17,84.46574074074073
DC2023-19,18,83.90925925925927
DC2023-19,19,82.63796296296296
DC2023-19,20,82.89722222222223
DC2023-19,21,82.35462962962963
DC2023-19,22,82.17592592592592
DC2023-19,23,82.04907407407407
DC2023-20,0,68.05350877192983
DC2023-20,1,68.32407407407408
DC2023-20,2,71.03148148148148
DC2023-20,3,73.56580145719491
DC2023-20,4,76.93796296296297
DC2023-20,5,79.95370370370371
DC2023-20,6,81.81666666666666
DC2023-20,7,84.45185185185186
DC2023-20,8,85.8851851851852
DC2023-20,9,87.31851851851852
DC2023-20,10,87.63240740740741
DC2023-20,11,86.85740740740741
DC2023-20,12,83.21754551161331
DC2023-20,13,78.14629629629628
DC2023-20,14,78.71388888888889
DC2023-20,15,71.78518518518518
DC2023-20,16,69.6675925925926
DC2023-20,17,73.00925925925927
DC2023-20,18,75.74722222222222
DC2023-20,19,77.57499999999999
DC2023-20,20,78.51388888888889
DC2023-20,21,77.63703703703703
DC2023-20,22,75.79722222222222
DC2023-20,23,73.16666666666667
DC2023-23,0,62.67254901960785
DC2023-23,1,59.73229166666667
DC2023-23,2,62.04375
DC2023-23,3,65.646875
DC2023-23,4,66.26666666666667
DC2023-23,5,55.688541666666666
DC2023-23,6,48.89895833333333
DC2023-23,7,45.684374999999996
DC2023-23,8,48.609375
DC2023-23,9,54.44166666666666
DC2023-23,10,60.260416666666664
DC2023-23,11,64.72395833333333
DC2023-23,12,66.59479166666667
DC2023-23,13,61.00729166666667
DC2023-23,14,59.8125
DC2023-23,15,53.88854166666667
DC2023-23,16,53.13020833333333
DC2023-23,17,57.121768707483
DC2023-23,18,57.65196078431372
DC2023-23,19,60.78921568627452
DC2023-23,20,61.40098039215686
DC2023-23,21,58.806862745098044
DC2023-23,22,54.97941176470588
DC2023-23,23,55.67357926221336
DC2023-24,0,63.44385964912281
DC2023-24,1,57.05555555555556
DC2023-24,2,57.474074074074075
DC2023-24,3,60.41203703703704
DC2023-24,4,57.30925925925926
DC2023-24,5,58.85185185185185
DC2023-24,6,63.419444444444444
DC2023-24,7,64.58055555555556
DC2023-24,8,65.34907407407407
DC2023-24,9,63.900925925925925
DC2023-24,10,64.2462962962963
DC2023-24,11,63.50925925925927
DC2023-24,12,52.28796296296296
DC2023-24,13,56.63611111111111
