name,hour,iaqi_value
DC2023-07,0,69.0421052631579
DC2023-07,1,67.11388888888888
DC2023-07,2,73.56296296296297
DC2023-07,3,73.36944444444445
DC2023-07,4,74.52592592592593
DC2023-07,5,74.48518518518519
DC2023-07,6,75.23796296296297
DC2023-07,7,79.24351851851853
DC2023-07,8,75.52407407407408
DC2023-07,9,78.60925925925926
DC2023-07,10,82.75462962962962
DC2023-07,11,82.60193032015066
DC2023-07,12,74.18518518518518
DC2023-07,13,77.28425925925926
DC2023-07,14,74.15740740740742
DC2023-07,15,71.11111111111111
DC2023-07,16,66.40277777777777
DC2023-07,17,64.97222222222223
DC2023-07,18,60.87222222222223
DC2023-07,19,56.528703703703705
DC2023-07,20,63.215740740740735
DC2023-07,21,62.71018518518518
DC2023-07,22,63.0574074074074
DC2023-07,23,62.1324074074074
DC2023-09,0,39.12650462962963
DC2023-09,1,44.87302494802495
DC2023-09,2,35.35565052231719
DC2023-09,3,13.851206252123683
DC2023-09,4,32.7997668997669
DC2023-09,5,50.03642748822731
DC2023-09,6,71.34320969386077
DC2023-09,7,79.6869591502619
DC2023-09,8,65.12464946092398
DC2023-09,9,13.405827505827505
DC2023-09,10,30.87368839427663
DC2023-09,11,47.023143013968706
DC2023-09,12,50.768181818181816
DC2023-09,13,35.883310049450806
DC2023-09,14,28.80872703841098
DC2023-09,15,53.68068841598869
DC2023-09,16,64.5759174885649
DC2023-09,17,63.480883909668314
DC2023-09,18,59.50833333333334
DC2023-09,19,49.11641414141414
DC2023-09,20,44.88901515151515
DC2023-09,21,28.656063419251492
DC2023-09,22,37.6003003003003
DC2023-09,23,49.22442480359147
DC2023-46,0,52.906140350877195
DC2023-46,1,54.21018518518518
DC2023-46,2,56.742592592592594
DC2023-46,3,61.09444444444445
DC2023-46,4,63.487037037037034
DC2023-46,5,64.67407407407407
DC2023-46,6,65.53055555555555
DC2023-46,7,66.0925925925926
DC2023-46,8,66.93055555555556
DC2023-46,9,67.80185185185185
DC2023-46,10,68.81574074074075
DC2023-46,11,69.58333333333333
DC2023-46,12,69.91944444444444
DC2023-46,13,65.40925925925927
DC2023-46,14,64.65648148148148
DC2023-46,15,64.5074074074074
DC2023-46,16,64.60277777777777
DC2023-46,17,64.07777777777778
DC2023-46,18,64.29722222222222
DC2023-46,19,64.16666666666667
DC2023-46,20,63.095370370370375
DC2023-46,21,64.20925925925926
DC2023-46,22,60.73796296296296
DC2023-46,23,55.35092592592593
