name,hour,iaqi_value
DC2023-04,0,57.9435771632471
DC2023-04,1,59.28518518518518
DC2023-04,2,64.21481481481482
DC2023-04,3,67.93240740740741
DC2023-04,4,71.87059008160703
DC2023-04,5,76.83425925925926
DC2023-04,6,79.91944444444444
DC2023-04,7,82.22498482088646
DC2023-04,8,83.87222222222222
DC2023-04,9,85.025
DC2023-04,10,85.59537037037038
DC2023-04,11,85.50462962962962
DC2023-04,12,81.9462962962963
DC2023-04,13,82.11018518518519
DC2023-04,14,79.58518518518518
DC2023-04,15,78.55740740740741
DC2023-04,16,78.22777777777777
DC2023-04,17,78.85833333333333
DC2023-04,18,77.20925925925926
DC2023-04,19,77.77986503452604
DC2023-04,20,78.82592592592592
DC2023-04,21,76.77314814814815
DC2023-04,22,72.92685185185185
DC2023-04,23,64.43518518518518
DC2023-16,0,22.757894736842104
DC2023-16,1,22.619444444444444
DC2023-16,2,24.859259259259257
DC2023-16,3,32.05462962962963
DC2023-16,4,32.21296296296296
DC2023-16,5,30.212037037037035
DC2023-16,6,24.589814814814815
DC2023-16,7,26.208333333333332
DC2023-16,8,30.386111111111106
DC2023-16,9,30.28240740740741
DC2023-16,10,39.04259259259259
DC2023-16,11,44.25092592592593
DC2023-16,12,42.10740740740741
DC2023-16,13,34.30185185185185
DC2023-16,14,35.0462962962963
DC2023-16,15,38.50277777777777
DC2023-16,16,35.2037037037037
DC2023-16,17,39.919444444444444
DC2023-16,18,38.68611111111111
DC2023-16,19,33.766666666666666
DC2023-16,20,35.019444444444446
DC2023-16,21,34.016666666666666
DC2023-16,22,33.3
DC2023-16,23,33.74074074074074
DC2023-27,0,75.59912280701754
DC2023-27,1,80.71666666666667
DC2023-27,2,83.01111111111112
DC2023-27,3,86.05555555555556
DC2023-27,4,87.72870370370372
DC2023-27,5,89.57592592592593
DC2023-27,6,90.62685185185185
DC2023-27,7,90.97870370370372
DC2023-27,8,90.71944444444445
DC2023-27,9,90.73425925925926
DC2023-27,10,90.5824074074074
DC2023-27,11,89.76944444444445
DC2023-27,12,88.52592592592593
DC2023-27,13,81.56666666666666
DC2023-27,14,82.4361111111111
DC2023-27,15,84.48611111111111
DC2023-27,16,86.54351851851851
DC2023-27,17,86.21481481481482
DC2023-27,18,86.00925925925927
DC2023-27,19,86.42777777777778
DC2023-27,20,86.1861111111111
DC2023-27,21,85.52222222222221
DC2023-27,22,86.03796296296296
DC2023-27,23,81.43055555555556
DC2023-28,0,72.06315789473685
DC2023-28,1,70.83425925925926
DC2023-28,2,69.45462962962964
DC2023-28,3,70.80740740740741
DC2023-28,4,73.9388888888889
DC2023-28,5,81.38240740740741
DC2023-28,6,87.12685185185185
DC2023-28,7,89.08425925925926
DC2023-28,8,90.2287037037037
DC2023-28,9,91.1212962962963
DC2023-28,10,91.91481481481482
DC2023-28,11,89.30000000000001
DC2023-28,12,83.79537037037036
DC2023-28,13,79.31851851851852
DC2023-28,14,77.59444444444445
