name,hour,iaqi_value
DC2023-01,0,75.80964912280702
DC2023-01,1,68.59537037037038
DC2023-01,2,64.57314814814815
DC2023-01,3,67.97685185185185
DC2023-01,4,72.37407407407407
DC2023-01,5,74.90092592592593
DC2023-01,6,77.43148148148148
DC2023-01,7,75.90925925925926
DC2023-01,8,80.68425925925925
DC2023-01,9,80.13196721311475
DC2023-01,10,77.2824074074074
DC2023-01,11,80.7212962962963
DC2023-01,12,84.22962962962963
DC2023-01,13,84.01296296296296
DC2023-01,14,84.89444444444445
DC2023-01,15,86.11944444444445
DC2023-01,16,88.38796296296296
DC2023-01,17,85.57685185185184
DC2023-01,18,84.775
DC2023-01,19,80.69074074074075
DC2023-01,20,79.29722222222222
DC2023-01,21,79.53333333333333
DC2023-01,22,82.32592592592592
DC2023-01,23,76.39629629629628
DC2023-03,0,75.31732084448409
DC2023-03,1,71.38148148148149
DC2023-03,2,71.27222222222221
DC2023-03,3,70.67962962962963
DC2023-03,4,71.09074074074074
DC2023-03,5,72.75092592592593
DC2023-03,6,74.4675925925926
DC2023-03,7,74.63888888888889
DC2023-03,8,76.53611111111111
DC2023-03,9,77.31018518518518
DC2023-03,10,67.14259259259259
DC2023-03,11,71.32777777777778
DC2023-03,12,77.35
DC2023-03,13,80.53888888888889
DC2023-03,14,82.09814814814814
DC2023-03,15,81.78148148148148
DC2023-03,16,82.41018518518518
DC2023-03,17,82.68779033270559
DC2023-03,18,83.22407407407407
DC2023-03,19,83.09351851851852
DC2023-03,20,82.57314814814815
DC2023-03,21,81.39444444444445
DC2023-03,22,78.48703703703704
DC2023-03,23,77.17962962962963
DC2023-05,0,68.5982456140351
DC2023-05,1,68.63240740740741
DC2023-05,2,66.88055555555555
DC2023-05,3,66.67777777777778
DC2023-05,4,69.125
DC2023-05,5,73.58455743879473
DC2023-05,6,75.2537037037037
DC2023-05,7,76.91018518518518
DC2023-05,8,80.77037037037037
DC2023-05,9,80.60277777777777
DC2023-05,10,81.33796296296296
DC2023-05,11,82.68425925925925
DC2023-05,12,78.35555555555555
DC2023-05,13,69.76203703703703
DC2023-05,14,75.97592592592592
DC2023-05,15,77.35648148148148
DC2023-05,16,76.75277777777778
DC2023-05,17,76.67129629629629
DC2023-05,18,70.08055555555556
DC2023-05,19,66.41851851851851
DC2023-05,20,67.49061519146265
DC2023-05,21,68.18240740740741
DC2023-05,22,67.49074074074073
DC2023-05,23,67.55000000000001
DC2023-13,0,81.71315789473684
DC2023-13,1,80.92592592592592
DC2023-13,2,81.13148148148149
DC2023-13,3,81.53611111111111
DC2023-13,4,81.74166666666666
DC2023-13,5,81.64537037037036
DC2023-13,6,82.49907407407407
DC2023-13,7,83.30698367859385
DC2023-13,8,82.08703703703704
DC2023-13,9,82.04814814814814
DC2023-13,10,82.16944444444444
DC2023-13,11,82.52222222222223
DC2023-13,12,79.51944444444445
DC2023-13,13,81.39907407407408
DC2023-13,14,83.92222222222222
DC2023-13,15,84.52962962962962
DC2023-13,16,84.56666666666666
DC2023-13,17,82.74166666666666
DC2023-13,18,84.83055555555556
DC2023-13,19,84.27962962962962
DC2023-13,20,82.32777777777778
DC2023-13,21,84.59351851851852
DC2023-13,22,83.66851851851851
DC2023-13,23,81.73518518518519
DC2023-40,0,72.25175438596492
DC2023-40,1,73.33055555555556
DC2023-40,2,73.10462962962963
DC2023-40,3,70.97314814814814
DC2023-40,4,72.63425925925927
DC2023-40,5,76.15555555555555
DC2023-40,6,78.93425925925925
DC2023-40,7,80.99722222222222
DC2023-40,8,82.42500000000001
DC2023-40,9,83.68518518518518
DC2023-40,10,84.33518518518518
DC2023-40,11,84.01851851851852
DC2023-40,12,79.23518518518519
DC2023-40,13,74.26296296296296
DC2023-40,14,74.51851851851852
DC2023-40,15,74.67500000000001
DC2023-40,16,74.22777777777777
DC2023-40,17,73.31666666666666
DC2023-40,18,72.81018518518518
DC2023-40,19,70.64907407407408
DC2023-40,20,69.64537037037037
DC2023-40,21,69.17886334610472
DC2023-40,22,67.01666666666667
DC2023-40,23,68.52037037037036
