hour,iaqi_value
0,0.3341066666666666
1,0.31954
2,0.32898
3,0.34037999999999996
4,0.3220066666666666
5,0.34918666666666665
6,0.34562666666666664
7,0.3531533333333333
8,0.34246
9,0.34864
10,0.3590933333333333
11,3.0563004195011336
12,3.068463231292517
13,0.35991999999999996
14,0.3311133333333333
15,0.32139999999999996
16,0.30915333333333334
17,0.35543333333333327
18,0.4115533333333333
19,0.26845333333333327
20,0.26646666666666663
21,0.29351999999999995
22,0.47775999999999996
23,0.39313333333333333
