hour,iaqi_value
0,25.23029431972789
1,28.790976978458055
2,36.544669047619045
3,34.13092310657596
4,31.31775534580499
5,22.49463155328798
6,16.91382764105642
7,21.522128344671202
8,21.716405408163265
9,24.641286666666666
10,24.99516850340136
11,25.14182128117914
12,25.51085009070295
13,32.875683157262905
14,28.257634688208615
15,25.209527465986397
16,24.400313628117914
17,18.728252828798183
18,16.165552970521542
19,18.957049637188206
20,18.982419569160996
21,19.0414758276644
22,19.348074421768708
23,22.295341400226757
