hour,iaqi_value
0,44.62068422902494
1,42.88072432539682
2,48.410963571428574
3,45.752985578231296
4,45.072469200680274
5,36.87343774943311
6,33.83792140589569
7,31.126423769841274
8,32.77614549819928
9,31.222916377551016
10,34.167294756235826
11,31.774505708616783
12,40.1680464569161
13,42.310282358943574
14,32.130606077097504
15,31.774355260770974
16,36.309485317460314
17,30.565246411564626
18,27.80546365079365
19,22.523788713151927
20,22.31010172335601
21,38.64122861111111
22,28.101876876417233
23,28.46617028911565
