hour,iaqi_value
0,45.09306725623583
1,51.44429764172335
2,51.925095011337866
3,48.96907441043084
4,45.736295328798185
5,41.84827651927438
6,39.37839365079365
7,33.72482302721088
8,33.93375044217687
9,39.63696168934241
10,37.0868158276644
11,37.30262261904762
12,42.30596193877551
13,42.4014781632653
14,29.479483786848075
15,29.85634525810324
16,30.908119036281178
17,25.2092452154195
18,19.742321462585036
19,19.8891726984127
20,22.59488232426304
21,23.131366170468187
22,30.043227789115647
23,39.184845351473925
