hour,iaqi_value
0,42.66427212121212
1,36.80549293238508
2,28.045336224489795
3,32.114900912364945
4,52.940005328798186
5,31.660766213151923
6,49.20960520408163
7,29.047622437641728
8,15.881883480725625
9,7.023265975056689
10,3.979498356009071
11,3.892927709750567
12,3.8499396598639453
13,3.7575877324263036
14,3.9590467913832206
15,9.872756746031747
16,4.163691258503402
17,16.05786866213152
18,12.33166350340136
19,9.530959580498866
20,15.72727292517007
21,18.59269246031746
22,21.57732947845805
23,41.41493367346939
