hour,iaqi_value
0,36.133380782312926
1,36.22995343337335
2,41.991570113378685
3,36.0929391723356
4,35.71718328798186
5,22.744309784580498
6,25.160704614512472
7,24.973816371882087
8,25.138612993197277
9,27.509000702947848
10,27.765491122448978
11,30.85362617913832
12,30.997612108843537
13,28.98229105442177
14,31.416309795918366
15,28.543045918367348
16,27.97983504535147
17,24.482748911564624
18,19.091495396825398
19,19.166515963718822
20,18.94943285714286
21,19.058409058956915
22,17.019067777777778
23,19.715332482993198
