hour,iaqi_value
0,41.93158702380953
1,38.909037142857144
2,33.68376522675737
3,25.45084768707483
4,27.090091213151926
5,18.429663185941042
6,10.479042280912365
7,9.959954529478459
8,10.014611173469387
9,15.395680793650794
10,15.477318854875286
11,15.519662942176872
12,15.709060589569162
13,18.66478823129252
14,27.00449740362812
15,27.379074297052156
16,16.662240901360544
17,18.659940073696145
18,15.978350198412699
19,15.822742613378685
20,15.94382279478458
21,21.807677142857145
22,13.896517701080432
23,25.552535827664396
