time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm
1700542800,26.0,74.767,3.6625,4.199
1700546400,26.0,75.0,3.4715,4.0205
1700550000,26.0,75.0,3.539,4.106
1700553600,26.0,74.267,3.216,3.781
1700557200,26.0,74.0,2.6815,3.1870000000000003
1700560800,26.0,73.966,2.2285,2.608
1700564400,26.0,74.0,1.7435,2.0995
1700568000,26.0,73.8,1.504,1.8305
1700571600,26.0,73.9,1.388,1.7195
1700575200,26.0,73.966,1.2839999999999998,1.6485
1700578800,26.2,74.0,1.893,2.2975000000000003
1700582400,27.0,74.0,2.186,2.739
1700586000,27.3,73.767,2.5295,2.988
1700589600,28.0,74.0,2.3815,2.8955
1700593200,28.466,74.0,1.864,2.3885
1700596800,29.0,74.767,1.5505,2.0475
1700600400,30.0,74.566,1.315,1.6589999999999998
1700604000,30.0,74.9,1.043,1.3435
1700607600,30.6,74.966,1.057,1.3505
1700611200,31.0,74.767,1.1885,1.5590000000000002
1700614800,31.0,75.0,1.0059999999999998,1.284
1700618400,31.0,75.4,0.8135,1.0459999999999998
1700622000,31.0,75.966,0.634,0.9025
1700625600,31.0,76.0,0.429,0.6025
1700629200,31.566,75.767,0.43,0.6295
1700632800,32.0,76.0,0.417,0.6134999999999999
1700636400,32.0,75.966,0.4865,0.6525000000000001
1700640000,31.566,75.8,0.762,1.1055
1700643600,31.0,75.9,1.025,1.437
1700647200,31.0,76.0,1.371,1.7915
1700650800,31.0,76.0,1.773,2.2285000000000004
1700654400,31.0,76.0,1.827,2.4905
1700658000,31.0,76.0,1.805,2.2065
1700661600,31.0,76.034,1.6455,2.098
1700665200,31.0,76.733,1.513,1.9505
1700668800,31.0,77.0,1.3965,1.752
1700672400,31.0,77.0,1.222,1.494
1700676000,31.0,77.0,1.153,1.473
1700679600,30.533,76.8,1.0755,1.2985
1700683200,30.0,77.0,0.9965,1.231
1700686800,30.0,76.767,0.916,1.083
1700690400,30.0,76.8,0.729,1.007
1700694000,30.0,76.8,0.8135,0.9945
1700697600,30.0,76.8,0.7969999999999999,1.0005
1700701200,30.0,77.0,0.844,1.0715
1700704800,30.0,76.767,0.882,1.0665
1700708400,30.0,77.0,0.8674999999999999,1.035
1700712000,30.0,76.834,0.7625,0.9125
1700715600,29.966,77.0,0.6405000000000001,0.817
1700719200,29.133,76.767,0.5075000000000001,0.605
1700722800,29.0,77.0,0.2885,0.396
1700726400,29.0,77.0,0.237,0.3375
1700730000,29.0,76.534,0.1525,0.275
1700733600,29.0,75.8,0.144,0.223
1700737200,29.0,76.0,0.1515,0.2269999999999999
1700740800,28.334,76.633,0.2595,0.3685
1700744400,28.0,76.767,0.3984999999999999,0.532
1700748000,28.0,76.9,0.5734999999999999,0.7135
1700751600,28.0,77.0,0.5945,0.727
1700755200,28.0,76.934,0.64,0.772
1700758800,28.0,77.0,0.7464999999999999,0.938
1700762400,28.0,76.767,0.7525,0.9465
1700766000,28.0,77.0,0.7969999999999999,1.053
1700769600,28.0,77.2,0.8049999999999999,1.0245
1700773200,28.0,76.733,0.892,1.0835
1700776800,28.0,77.0,1.21,1.485
1700780400,28.0,76.5,1.527,1.747
1700784000,28.0,77.0,1.8355,2.0685
1700787600,28.0,77.0,2.217,2.4825
1700791200,28.0,76.767,3.1275,3.5555000000000003
1700794800,28.0,76.767,3.838,4.276
1700798400,28.0,77.0,4.0535,4.556
1700802000,28.0,76.633,3.992,4.5295000000000005
1700805600,28.0,76.1,3.818,4.2245
1700809200,28.0,75.867,3.664,4.0645
1700812800,28.0,75.767,3.5355,3.982
1700816400,28.0,75.8,3.59,4.008
1700820000,28.0,75.5,3.65,4.0035
1700823600,28.0,75.9,3.793,4.1985
1700827200,28.0,75.767,3.9015,4.359500000000001
1700830800,28.0,76.0,3.944,4.5
1700834400,28.0,76.0,3.908,4.3695
1700838000,27.966,76.3,4.1355,4.657
1700841600,27.9,77.0,4.307,4.792
1700845200,27.0,77.0,4.827,4.908
1700848800,27.0,76.934,4.359,4.8665
1700852400,27.034,76.767,4.518,5.002
1700856000,27.0,76.966,4.4895,4.944
1700859600,27.0,76.767,4.8735,5.397
1700863200,27.0,76.4,5.443,5.9755
1700866800,27.0,76.0,6.1325,6.6745
1700870400,27.0,75.767,5.9805,6.801
1700874000,27.0,76.0,5.597,6.142
1700877600,26.966,75.966,5.076499999999999,5.593999999999999
1700881200,26.4,75.733,4.4365000000000006,4.9265
1700884800,26.0,74.966,3.723,4.2155000000000005
1700888400,26.0,75.0,3.2035,3.69
1700892000,26.0,75.0,2.6715,3.0565
1700895600,26.0,74.966,2.375,2.724
1700899200,26.0,74.4,1.9795,2.273
1700902800,25.7,73.534,1.761,1.978
1700906400,25.0,74.0,1.5995,1.9355
1700910000,25.0,74.0,1.436,1.685
1700913600,25.0,74.0,1.435,1.6875
1700917200,25.0,74.0,1.323,1.581
1700920800,24.834,74.0,1.208,1.5219999999999998
1700924400,24.0,73.733,1.6115,1.9225
1700928000,24.0,73.966,1.704,2.019
1700931600,24.0,73.8,1.621,1.95
1700935200,24.0,74.2,1.82,2.211
1700938800,24.0,75.0,1.747,2.135
1700942400,24.0,74.933,1.802,2.109
1700946000,24.0,74.166,1.9135,2.2945
1700949600,24.0,73.767,2.359,2.7905
1700953200,24.0,74.0,4.053,4.7335
1700956800,24.0,73.767,4.832,5.618
1700960400,24.0,73.767,5.3715,6.223
1700964000,24.0,73.633,5.9275,6.7405
1700967600,24.0,73.034,6.0715,7.118
1700971200,24.0,73.0,6.0675,6.938000000000001
1700974800,24.0,73.0,5.7595,6.6555
1700978400,24.0,73.0,5.133,5.8795
1700982000,24.0,73.0,4.506,5.1850000000000005
1700985600,24.0,73.0,4.035500000000001,4.6365
1700989200,24.534,72.534,3.8605,4.375
1700992800,24.966,73.0,3.732,4.3665
1700996400,25.0,72.566,3.928,4.542
1701000000,25.0,73.0,3.7525,4.3245000000000005
1701003600,25.0,73.7,3.7385,4.3195
1701007200,25.0,74.0,3.4935,3.9925
1701010800,25.0,73.966,3.309,3.8615
1701014400,25.0,74.233,3.031,3.501
1701018000,25.0,75.0,2.9265,3.4475
1701021600,25.3,74.966,2.7175,3.2135
1701025200,26.0,74.767,2.508,2.917
1701028800,26.0,75.0,2.414,2.873
1701032400,26.0,75.0,2.2905,2.6965
1701036000,26.534,75.0,2.5835,3.0090000000000003
1701039600,27.0,74.934,3.1625,3.744
1701043200,27.0,74.966,3.3360000000000003,3.861
1701046800,27.0,74.767,3.8245,4.468
1701050400,27.0,75.0,3.914,4.523
1701054000,27.0,74.534,3.7735,4.269
1701057600,27.0,74.767,3.6265,4.121
1701061200,27.0,74.767,4.0895,4.8085
1701064800,27.0,74.466,5.3945,6.4205000000000005
1701068400,27.0,74.1,6.952,8.163
1701072000,27.0,73.966,8.3645,9.8885
1701075600,27.0,73.966,9.77,11.578
1701079200,27.0,74.0,11.498,13.4405
1701082800,27.0,74.0,12.7665,15.1935
1701086400,27.0,74.534,13.0225,15.39
1701090000,27.0,75.0,11.748,13.6905
1701093600,27.0,74.733,10.088,11.703
