time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm
1700542800,42.534,44.933,14.7475,16.1155
1700546400,42.233,45.033,12.2525,13.501
1700550000,45.1,45.067,12.119,13.143999999999998
1700553600,47.767,45.334,11.4355,12.506
1700557200,46.767,46.166,7.8635,8.567499999999999
1700560800,45.3,46.933,4.645,5.126
1700564400,46.5,47.0,3.941,4.52
1700568000,48.2,47.133,3.777,4.327
1700571600,53.166,46.867,4.1975,4.829
1700575200,60.966,46.334,5.6655,6.2965
1700578800,65.233,46.9,6.4585,7.256
1700582400,68.7,47.566,8.379,9.267499999999998
1700586000,70.867,48.166,9.1765,10.038
1700589600,72.466,50.633,7.359999999999999,8.1525
1700593200,72.9,53.4,3.7895,4.457
1700596800,73.0,54.966,3.2985,3.7505
1700600400,73.367,56.067,2.7445,3.141
1700604000,74.4,57.034,1.743,1.9815
1700607600,74.934,57.966,1.073,1.3085
1700611200,75.0,58.517,0.5609999999999999,0.7815000000000001
1700614800,75.0,59.5,0.659,0.9325
1700618400,74.367,60.7,1.0625,1.318
1700622000,74.6,59.566,0.3925,0.5495
1700625600,73.4,58.0,0.1255,0.255
1700629200,73.633,57.966,0.7090000000000001,0.8614999999999999
1700632800,74.034,58.367,2.784,2.955
1700636400,73.534,57.133,5.9915,6.2955000000000005
1700640000,72.967,55.266,9.485,10.094
1700643600,72.0,55.034,16.0695,17.043
1700647200,71.4,54.2,16.685000000000002,17.862000000000002
1700650800,71.1,53.3,16.268,17.6115
1700654400,71.034,52.834,14.2625,15.479500000000002
1700658000,70.767,52.867,12.437,13.3855
1700661600,70.666,52.9,16.285,17.779
1700665200,66.2,57.034,9.7165,10.311
1700668800,56.1,60.534,3.0620000000000003,3.254
1700672400,49.3,61.133,3.0835,3.231
1700676000,45.534,60.367,1.8305,1.977
1700679600,44.233,60.0,1.662,1.794
1700683200,44.0,58.733,1.557,1.734
1700686800,44.433,58.067,1.383,1.528
1700690400,46.267,56.534,1.776,1.9175
1700694000,47.3,55.334,3.3925,3.571
1700697600,48.2,54.7,3.5815,3.8415
1700701200,48.867,53.933,2.7135,2.895
1700704800,49.067,53.566,2.52,2.7615
1700708400,49.267,53.233,2.2825,2.441
1700712000,49.166,52.867,1.557,1.7045
1700715600,50.367,51.433,0.6545000000000001,0.796
1700719200,51.0,51.0,0.8069999999999999,0.8815
1700722800,50.9,50.133,1.1275,1.219
1700726400,50.233,49.966,1.0275,1.137
1700730000,47.567,49.1,0.9875,1.112
1700733600,47.867,48.633,1.363,1.487
1700737200,48.267,48.0,2.934,3.1995
1700740800,46.5,47.834,5.052,5.4475
1700744400,42.367,50.767,6.4965,6.927
1700748000,39.666,52.567,6.504,6.846500000000001
1700751600,38.1,54.133,6.3815,6.792
1700755200,36.166,56.567,6.4675,6.911
1700758800,35.267,57.666,5.835,6.162
1700762400,34.267,59.133,4.9265,5.234999999999999
1700766000,33.6,59.867,4.626,4.902
1700769600,33.067,59.867,4.4,4.6125
1700773200,34.0,59.2,6.222,6.487
1700776800,36.733,57.2,13.038,13.7465
1700780400,41.533,54.733,25.7065,27.661
1700784000,44.833,53.334,40.02,46.928
1700787600,48.867,52.034,52.132000000000005,64.5775
1700791200,50.0,50.933,52.5745,64.58449999999999
1700794800,47.9,50.867,38.3155,43.4585
1700798400,46.233,50.966,20.4635,21.6615
1700802000,46.867,50.167,15.3435,16.1495
1700805600,48.133,49.533,14.4985,15.2105
1700809200,49.567,48.466,17.610500000000002,18.696
1700812800,50.834,47.7,21.805,22.933
1700816400,52.9,46.3,25.1335,26.6955
1700820000,52.9,45.966,27.1695,28.878
1700823600,52.2,46.766,29.445,31.265
1700827200,53.166,46.067,32.3365,34.6435
1700830800,49.266,49.966,31.928,34.382
1700834400,44.5,53.9,30.04,31.834
1700838000,40.466,56.133,29.86,31.6835
1700841600,37.733,57.033,28.78,30.5765
1700845200,36.733,57.967,28.839,30.7915
1700848800,36.1,57.934,28.004,29.6695
1700852400,37.5,56.833,31.211,33.1905
1700856000,38.933,55.7,32.6575,35.1745
1700859600,39.7,54.4,33.429,36.193
1700863200,41.0,53.567,38.9235,44.7325
1700866800,42.534,51.933,36.065,40.435
1700870400,41.6,49.767,19.2835,20.4715
1700874000,39.267,48.267,10.5095,11.1755
1700877600,38.166,47.167,8.477,9.013
1700881200,37.166,45.133,4.727,5.271000000000001
1700884800,36.867,44.1,4.8175,5.246
1700888400,36.666,43.733,4.818,5.2940000000000005
1700892000,37.233,41.966,4.0855,4.456
1700895600,39.167,40.967,5.2715,5.753
1700899200,40.3,39.867,5.316,5.815
1700902800,41.0,39.067,5.6745,6.2545
1700906400,41.933,38.0,5.6175,6.246
1700910000,42.467,37.2,6.3575,7.101
1700913600,42.633,37.666,7.226,8.032
1700917200,38.8,40.467,6.7855,7.476
1700920800,34.0,44.0,5.6765,6.202500000000001
1700924400,32.133,45.267,6.051,6.634499999999999
1700928000,30.267,47.534,8.121500000000001,8.9155
1700931600,29.867,47.433,9.8755,10.749
1700935200,29.6,47.767,9.701,10.608
1700938800,28.434,48.433,8.6895,9.494
1700942400,29.534,47.567,7.580500000000001,8.347999999999999
1700946000,31.567,46.367,7.6945,8.504
1700949600,34.6,44.567,11.128,12.343
1700953200,37.466,43.233,14.9945,16.764499999999998
1700956800,39.133,42.334,14.9565,16.6065
1700960400,40.8,41.9,22.7795,25.325000000000003
1700964000,42.767,41.233,30.912,34.4045
1700967600,43.733,41.0,33.651,37.2745
1700971200,45.233,41.0,32.9765,36.4795
1700974800,46.0,41.0,29.8985,32.781499999999994
1700978400,45.133,42.0,33.039500000000004,37.466
1700982000,46.0,42.034,26.562,29.0875
1700985600,45.6,42.8,22.745,25.247
1700989200,45.733,43.0,25.592,28.217
1700992800,47.0,42.9,25.894,28.2125
1700996400,48.334,42.267,26.6605,29.032
1701000000,50.0,42.733,28.854,31.3735
1701003600,49.534,45.4,26.5535,28.7015
1701007200,47.233,49.2,18.8885,20.3915
1701010800,45.633,51.467,13.3365,14.4625
1701014400,44.466,54.133,13.1715,14.206
1701018000,48.0,53.834,10.817,11.8835
1701021600,55.034,52.633,11.3455,12.4615
1701025200,54.334,54.034,12.241,13.177
1701028800,59.0,52.334,14.9815,16.255
1701032400,64.233,51.166,18.811,20.156
1701036000,66.567,50.1,17.490000000000002,18.62
1701039600,68.367,49.567,23.967,25.957
1701043200,68.434,49.966,30.8435,33.4485
1701046800,68.533,49.834,42.0175,49.519000000000005
1701050400,68.534,49.0,37.493,43.0535
1701054000,68.133,47.534,20.47,22.482
1701057600,67.966,46.434,17.241,18.9375
1701061200,67.334,46.0,14.169,15.534
1701064800,66.867,45.633,12.657,13.936
1701068400,66.934,45.0,12.656,13.9435
1701072000,66.633,44.867,12.2065,13.388
1701075600,67.633,44.133,12.2175,13.4485
1701079200,65.6,45.567,11.3715,12.613
1701082800,65.0,44.267,12.494,13.7655
1701086400,64.9,44.334,12.9395,14.371
1701090000,59.833,48.8,11.413,12.4465
1701093600,51.133,52.633,4.0135000000000005,4.319
1701097200,43.067,53.0,3.7675,4.039
1701100800,37.767,53.333,3.99,4.2315000000000005
1701104400,36.834,52.2,5.4875,5.8135
1701108000,34.966,50.534,6.698,7.1205
1701111600,35.166,49.334,8.8845,9.364999999999998
1701115200,36.067,47.767,8.8575,9.4
1701118800,36.966,46.3,9.892,10.5045
1701122400,37.933,43.834,10.402,11.0285
1701126000,38.0,42.0,9.369,10.0245
1701129600,38.0,41.0,10.469,11.219
1701133200,37.267,40.7,15.6395,16.697
1701136800,38.0,40.067,16.299,17.447499999999998
1701140400,38.0,39.966,16.109,17.156
1701144000,38.9,39.834,17.076999999999998,18.1645
1701147600,40.834,39.0,16.525,17.778
1701151200,41.2,39.467,13.872,14.7065
1701154800,39.0,41.0,9.8995,10.6495
1701158400,38.1,40.6,8.9215,9.5565
1701162000,37.966,40.633,8.3955,9.116
1701165600,37.667,41.233,8.8085,9.6555
1701169200,37.933,41.2,9.256,10.098
1701172800,35.934,40.3,7.694,8.335
1701176400,32.166,42.433,6.7895,7.3925
1701180000,30.2,44.1,7.2925,7.968999999999999
1701183600,28.666,45.3,7.5225,8.1205
1701187200,31.9,44.733,8.9335,9.7165
1701190800,32.0,43.1,7.705999999999999,8.464
1701194400,28.3,42.167,6.583,7.342499999999999
1701198000,26.667,41.2,5.827500000000001,6.399
1701201600,26.767,39.3,6.2275,6.9975000000000005
1701205200,28.566,37.133,7.444,8.326
1701208800,29.633,35.334,8.106,9.0265
1701212400,30.233,34.533,9.1035,9.97
1701216000,31.3,33.334,9.0815,10.006
1701219600,31.967,32.933,9.3665,10.407
1701223200,32.834,32.367,9.1785,10.1185
1701226800,33.9,31.867,9.1855,10.241
1701230400,35.433,31.367,9.329,10.427
1701234000,36.534,31.233,10.0905,11.2195
1701237600,37.0,30.966,9.842,11.1175
1701241200,37.133,30.133,10.4355,11.735
1701244800,37.933,30.0,11.7125,12.8985
1701248400,38.0,29.934,12.1055,13.2565
1701252000,38.0,29.966,13.125,14.5225
1701255600,38.9,29.667,14.7455,16.2085
1701259200,38.834,30.033,16.121,17.5965
1701262800,35.6,33.966,16.828,18.5305
1701266400,31.966,36.6,15.432,16.776
1701270000,28.733,39.067,12.632,13.924
1701273600,25.733,42.0,11.9845,13.321000000000002
1701277200,24.233,43.166,9.945,10.907
1701280800,24.0,43.3,9.774,10.843
1701284400,24.0,43.534,10.446000000000002,11.5555
1701288000,23.267,44.267,9.848,10.871
1701291600,23.5,44.733,10.27,11.3525
1701295200,24.233,43.4,9.493,10.5695
1701298800,25.367,42.133,10.941,12.3185
1701302400,27.0,42.033,13.4125,14.807
1701306000,28.0,43.666,20.485,22.638
1701309600,28.767,42.5,23.027,25.421
1701313200,29.034,41.633,15.0365,16.9555
1701316800,29.334,41.0,14.0295,15.6725
1701320400,30.367,40.666,13.943,15.7325
1701324000,31.867,39.834,15.0585,16.849
1701327600,34.433,38.733,15.282,17.0165
1701331200,37.4,37.3,16.5505,18.571
1701334800,39.733,36.8,16.9495,18.925
1701338400,39.767,36.9,15.207,17.192500000000003
1701342000,40.666,36.8,16.105,18.152
1701345600,38.767,38.933,15.86,18.182
1701349200,37.133,44.334,20.674,23.0345
1701352800,33.767,50.067,18.689,20.3945
1701356400,30.3,53.934,17.558999999999997,18.987
1701360000,29.166,57.1,18.12,19.461
1701363600,28.034,59.034,10.92,11.9615
1701367200,26.934,60.067,6.7155000000000005,7.234
1701370800,26.9,60.067,4.6665,5.0055
1701374400,28.4,58.534,6.622999999999999,7.0885
1701378000,30.134,57.334,7.8415,8.4315
1701381600,31.867,55.633,9.2945,10.064
1701385200,34.067,54.367,11.6385,11.919
1701388800,35.4,53.567,10.3445,11.07
1701392400,37.133,52.367,13.0415,14.04
1701396000,39.166,51.567,16.243499999999997,17.378
1701399600,40.267,50.966,15.8625,16.964
1701403200,41.0,50.3,15.867,16.891
1701406800,41.433,49.8,15.249,16.476
1701410400,43.266,48.633,16.374499999999998,17.6145
1701414000,44.3,48.0,17.329,18.442
1701417600,46.066,46.966,19.2785,20.665
1701421200,48.266,46.0,20.866,22.563
1701424800,48.733,46.2,21.3555,23.0035
1701428400,45.967,47.933,21.4495,22.899
1701432000,46.767,48.0,25.0755,26.878500000000003
1701435600,46.0,49.334,27.648,29.692
1701439200,41.433,52.834,26.3535,27.9695
1701442800,39.466,54.433,28.599,30.449
1701446400,37.409,55.7,26.666,28.2145
1701450000,39.233,55.606,27.176,28.748
1701453600,43.6,55.8,31.096,33.158500000000004
1701457200,46.0,56.6,33.332,36.1415
1701460800,55.133,54.6,34.9575,38.2175
1701464400,61.8,53.1,35.426500000000004,38.9005
1701468000,66.334,51.867,36.2755,39.9595
1701471600,66.233,52.0,36.455,40.3435
1701475200,65.367,52.933,40.679,47.5995
1701478800,65.034,53.233,45.058,54.1085
1701482400,65.966,52.966,47.705,57.706
1701486000,66.433,53.267,47.053,56.996
1701489600,66.0,54.0,45.052,54.025
1701493200,65.9,54.0,44.877,53.7515
1701496800,65.733,53.966,44.81,53.7485
1701500400,66.166,54.0,44.9495,54.024
1701504000,66.0,54.334,45.3995,54.473
1701507600,66.0,55.0,45.682,55.1675
1701511200,65.7,55.0,47.021,57.1
1701514800,66.633,54.767,46.0645,56.827
1701518400,68.1,54.567,40.272000000000006,49.2285
1701522000,67.5,54.966,38.568,46.738
1701525600,66.767,55.733,35.046,40.5235
1701529200,63.733,58.033,35.466,40.866
1701532800,60.066,60.733,36.7565,42.9265
1701536400,56.967,62.767,37.851,44.782
1701540000,55.066,64.533,38.911,46.3335
1701543600,54.2,64.633,44.119,53.523
1701547200,57.033,62.466,46.174,56.3
1701550800,61.166,60.367,43.7985,53.0995
1701554400,63.367,59.9,45.57599999999999,55.2165
1701558000,64.867,59.034,51.6855,63.941
1701561600,64.433,59.966,48.339,59.6125
1701565200,65.834,59.867,47.713,59.0705
1701568800,66.8,59.466,49.1725,62.206
1701572400,69.1,59.0,53.1085,65.5095
1701576000,70.133,58.2,41.49250000000001,51.2865
1701579600,71.0,57.4,36.528000000000006,42.811
1701583200,71.666,56.067,26.698,28.692
1701586800,72.667,55.0,16.509,17.240000000000002
1701590400,73.034,55.034,14.365,14.8835
1701594000,73.133,55.0,12.519,13.194
1701597600,73.334,55.0,12.259,12.853
1701601200,74.0,55.6,9.7975,10.111999999999998
1701604800,73.667,56.0,6.6175,6.9
1701608400,73.066,56.867,7.7545,8.048
1701612000,72.834,57.034,11.248,11.714
1701615600,73.4,57.267,12.2855,13.083
1701619200,72.133,58.2,14.0985,15.0915
1701622800,71.034,59.166,20.432,21.748
1701626400,70.633,59.966,26.4785,28.7605
1701630000,70.1,60.3,26.661,29.2545
1701633600,69.334,60.9,19.002,20.1235
1701637200,69.433,60.433,14.897,15.77
1701640800,70.267,59.966,19.2605,20.57
1701644400,70.333,60.1,27.569000000000003,30.0635
1701648000,70.733,59.567,30.497,33.462
1701651600,72.0,58.7,28.129,30.4345
1701655200,70.9,58.067,28.114,30.217
1701658800,70.0,56.9,28.417,30.458
1701662400,68.8,55.567,19.422,20.718
1701666000,54.267,55.133,5.1955,5.4835
1701669600,43.633,53.166,5.3455,5.6475
1701673200,42.166,53.5,6.166499999999999,6.546
1701676800,43.834,52.966,6.8085,7.182499999999999
1701680400,46.233,51.733,8.49,8.9065
1701684000,48.367,51.666,10.384,11.0985
1701687600,49.166,51.367,11.157,11.8365
1701691200,49.133,51.934,12.44,13.2605
1701694800,46.067,54.2,14.0075,14.9135
1701698400,42.8,56.0,9.786,10.2235
1701702000,39.8,57.8,8.413499999999999,8.866
1701705600,38.133,58.334,8.831,9.377
1701709200,35.834,59.433,8.078,8.453
1701712800,34.767,59.234,7.9815,8.457
1701716400,34.267,59.733,7.9585,8.293
1701720000,35.534,57.6,13.102,14.3055
1701723600,36.933,56.0,8.967500000000001,9.377
1701727200,38.4,54.767,10.0945,10.610499999999998
1701730800,39.0,54.0,11.3345,11.953
1701734400,41.166,52.767,15.9555,16.9635
1701738000,45.8,50.567,21.245,22.625
1701741600,48.433,49.1,21.9015,22.958
1701745200,49.566,47.934,20.1165,21.344
1701748800,49.334,47.233,16.7425,17.778
1701752400,49.733,46.334,15.9495,16.985999999999997
1701756000,48.834,46.034,12.514,13.322
1701759600,48.433,45.534,11.107,11.9105
1701763200,49.3,44.933,12.159,13.041
1701766800,51.767,43.834,12.288,13.243
1701770400,52.4,43.334,12.961,14.004
1701774000,52.034,43.867,14.374,15.768
1701777600,50.933,44.9,13.221,14.408
1701781200,44.9,49.5,12.188,13.0865
1701784800,38.7,53.434,9.81,10.366
1701788400,36.133,53.633,8.119,8.5155
1701792000,36.067,53.534,11.3475,12.0705
1701795600,34.933,54.867,11.224,11.8385
1701799200,34.166,55.8,10.1085,10.6035
1701802800,35.066,54.5,9.8735,10.418
1701806400,35.966,53.8,10.705,11.343
1701810000,36.4,53.0,12.481000000000002,13.2245
1701813600,37.8,52.566,13.164,13.8265
1701817200,39.767,51.633,13.245,14.1305
1701820800,41.5,50.8,14.402,15.4945
1701824400,42.767,50.0,19.1455,20.671
1701828000,43.5,49.367,20.442,22.1165
1701831600,46.4,47.433,21.0475,22.7
1701835200,51.1,45.9,21.9765,23.8045
1701838800,54.0,45.867,23.725,25.718
1701842400,54.633,45.8,24.894,27.021
1701846000,56.933,44.767,28.317,31.1035
1701849600,57.633,44.533,30.338,33.195
1701853200,56.1,44.733,32.879,36.1665
1701856800,55.4,44.933,34.379000000000005,37.9695
1701860400,55.234,44.267,32.964,36.349
1701864000,56.233,44.0,36.01349999999999,40.55
1701867600,54.567,44.767,36.383,40.9005
1701871200,51.666,46.566,33.875,37.9
1701874800,47.166,48.2,25.733,28.09
1701878400,44.667,46.567,19.8665,21.7595
1701882000,45.467,46.7,16.85,18.2645
1701885600,40.534,47.566,10.753,11.6475
1701889200,41.233,46.933,9.264,10.0425
1701892800,39.833,46.7,7.386,7.974499999999999
1701896400,38.767,45.966,6.51,7.055
1701900000,38.034,44.967,3.5380000000000003,3.8105
1701903600,38.567,44.267,3.9855,4.3435
1701907200,39.567,43.433,5.517,6.0115
1701910800,40.9,42.6,8.0235,8.6925
1701914400,42.233,41.6,9.762,10.402
1701918000,42.5,41.0,10.5905,11.3065
1701921600,43.0,40.733,9.1715,9.7555
1701925200,43.6,40.5,9.386500000000002,10.159
1701928800,44.5,39.966,10.276,11.365
1701932400,46.267,39.2,11.227,12.2745
1701936000,47.166,38.933,9.9975,10.831499999999998
1701939600,47.4,38.5,8.74,9.6075
1701943200,45.833,39.367,8.434000000000001,9.205
1701946800,45.034,40.867,10.0595,10.7935
1701950400,43.567,42.733,11.599,12.61
1701954000,41.834,44.2,13.641,14.7195
1701957600,39.3,45.166,11.1615,12.0805
1701961200,37.6,46.867,12.313,13.4705
1701964800,35.633,49.4,13.023,13.402
1701968400,34.0,51.433,12.647,13.4695
1701972000,34.0,51.233,12.547,13.3995
1701975600,35.8,50.567,11.2685,12.129
1701979200,35.933,50.233,10.783,11.5365
1701982800,34.966,51.0,12.8795,13.7955
1701986400,36.433,51.0,11.6555,12.5035
1701990000,38.0,50.8,13.959499999999998,14.915
1701993600,37.767,50.966,17.0325,18.125
1701997200,37.4,51.5,24.931,26.9325
1702000800,38.4,51.9,22.7975,24.5005
1702004400,40.767,50.633,21.3595,23.0535
1702008000,43.333,48.4,23.3385,25.221
1702011600,46.067,46.733,23.7795,25.719
1702015200,47.4,45.666,25.0075,27.283
1702018800,49.334,44.3,22.4825,24.425
1702022400,51.867,43.666,25.1885,27.264000000000003
1702026000,52.967,43.233,25.751,27.994
1702029600,52.067,43.966,25.526,27.7405
1702033200,52.7,43.834,27.5885,29.865
1702036800,52.6,44.566,28.309,30.848
1702040400,48.433,46.3,27.527,29.647
1702044000,45.334,49.3,29.016,31.1645
1702047600,43.534,51.833,30.218,32.387
1702051200,37.667,56.633,25.6765,27.373
1702054800,33.967,59.2,16.489,17.453
1702058400,31.367,60.941,11.771,12.42
1702062000,30.4,61.666,10.2535,10.8525
1702065600,30.866,61.733,8.567499999999999,9.088
1702069200,33.1,59.966,8.7305,9.375
1702072800,36.267,57.867,10.523,11.219
1702076400,41.834,55.433,14.754,15.729500000000002
1702080000,46.666,53.534,17.771,18.9215
1702083600,49.166,51.933,21.8385,23.623
1702087200,51.334,50.367,25.8145,27.5515
1702090800,53.867,49.533,31.839,34.2845
1702094400,55.7,48.534,34.784499999999994,37.7855
