time_stamp,humidity,temperature,pm2.5_atm,pm10.0_atm
1700542800,32.9,56.034,10.793,11.7635
1700546400,34.233,55.2,9.5735,10.4035
1700550000,37.966,54.367,9.298,10.113
1700553600,40.4,54.467,8.722000000000001,9.436
1700557200,40.633,54.534,7.218500000000001,7.925
1700560800,40.4,54.467,4.872999999999999,5.52
1700564400,41.267,55.0,3.563,4.0855
1700568000,43.133,55.2,3.27,3.7885
1700571600,49.334,55.367,3.568,4.1115
1700575200,55.567,54.9,5.025,5.8045
1700578800,58.5,55.267,5.0905000000000005,5.97
1700582400,62.433,55.534,6.6125,7.805000000000001
1700586000,64.0,56.433,6.688,8.118
1700589600,64.867,58.633,4.9275,6.091
1700593200,64.9,60.4,2.7635,3.6215
1700596800,65.434,61.5,2.614,3.3905000000000003
1700600400,65.7,62.534,2.614,3.196
1700604000,65.8,63.733,1.8465,2.3095
1700607600,65.867,64.7,1.1665,1.4935
1700611200,65.434,65.3,0.842,1.1785
1700614800,65.867,65.9,1.0455,1.4355
1700618400,66.934,66.233,1.5055,2.057
1700622000,69.966,63.767,0.3915,0.682
1700625600,68.5,63.334,0.063,0.203
1700629200,67.567,64.167,0.5894999999999999,0.87
1700632800,68.233,64.233,1.8785,2.0685
1700636400,68.533,63.033,4.379,4.6
1700640000,67.8,61.3,7.294,7.639
1700643600,67.834,60.4,9.1195,9.4065
1700647200,64.4,61.1,10.387,10.8365
1700650800,62.333,60.967,12.2975,12.8455
1700654400,61.867,60.567,10.9735,11.6015
1700658000,60.467,60.7,11.6435,12.248
1700661600,60.567,60.167,12.112,12.7285
1700665200,61.967,60.433,8.2045,8.538499999999999
1700668800,56.467,62.367,2.945,3.139
1700672400,50.166,63.567,2.4325,2.6260000000000003
1700676000,44.933,63.5,1.4045,1.5345
1700679600,43.4,63.166,1.0185,1.1425
1700683200,41.834,63.2,0.8975,1.0125
1700686800,41.666,63.166,1.0565,1.1735
1700690400,43.5,61.6,1.375,1.506
1700694000,45.633,59.567,2.9365,3.1075
1700697600,45.367,60.133,3.262,3.432
1700701200,45.0,60.034,2.922,3.1095
1700704800,46.267,59.1,2.793,2.9635
1700708400,46.566,58.9,2.0335,2.1785
1700712000,46.166,58.5,1.081,1.239
1700715600,47.6,56.767,0.29,0.412
1700719200,47.733,55.7,0.278,0.38
1700722800,47.766,55.633,0.4435,0.539
1700726400,46.767,55.934,0.426,0.5215000000000001
1700730000,42.9,56.567,0.2855,0.3695
1700733600,41.633,56.7,0.651,0.728
1700737200,43.233,54.533,1.9135,2.028
1700740800,40.167,54.567,3.1145,3.265
1700744400,39.367,54.7,4.024,4.2485
