time_stamp,iaqi_value
1700542800,2.5903199999999997
1700546400,2.29764
1700550000,2.2315199999999997
1700553600,2.09328
1700557200,1.73244
1700560800,1.16952
1700564400,0.85512
1700568000,0.7847999999999999
1700571600,0.85632
1700575200,1.206
1700578800,1.2217200000000001
1700582400,1.587
1700586000,1.6051199999999999
1700589600,1.1826
1700593200,0.6632399999999999
1700596800,0.6273599999999999
1700600400,0.6273599999999999
1700604000,0.44316
1700607600,0.27996
1700611200,0.20207999999999998
1700614800,0.25092000000000003
1700618400,0.36132
1700622000,0.09396
1700625600,0.01512
1700629200,0.14147999999999997
1700632800,0.45084
1700636400,1.05096
1700640000,1.75056
1700643600,2.18868
1700647200,2.49288
1700650800,51.09391326530612
1700654400,2.6336399999999998
1700658000,2.79444
1700661600,51.00570612244898
1700665200,1.9690799999999997
1700668800,0.7068
1700672400,0.5838
1700676000,0.33708
1700679600,0.24444
1700683200,0.21539999999999998
1700686800,0.25356
1700690400,0.32999999999999996
1700694000,0.70476
1700697600,0.78288
1700701200,0.70128
1700704800,0.67032
1700708400,0.48804000000000003
1700712000,0.25944
1700715600,0.0696
1700719200,0.06672
1700722800,0.10643999999999999
1700726400,0.10224
1700730000,0.06852
1700733600,0.15624
1700737200,0.45924
1700740800,0.74748
1700744400,0.96576
1700748000,1.0162799999999999
1700751600,0.99636
1700755200,1.1087999999999998
1700758800,0.9304799999999999
1700762400,0.76476
1700766000,0.6927599999999999
1700769600,0.6456
1700773200,0.71976
1700776800,1.0674
1700780400,1.7810399999999997
1700784000,52.963857142857144
1700787600,54.30622244897959
1700791200,57.896086734693874
1700794800,54.24321734693878
1700798400,2.7253199999999995
1700802000,2.07516
1700805600,2.4496800000000003
1700809200,51.425819387755105
1700812800,52.50760510204081
1700816400,53.06870714285714
1700820000,54.56371122448979
1700823600,55.67426530612245
1700827200,56.426046938775514
1700830800,57.16261224489796
1700834400,57.620766326530614
1700838000,57.98310510204082
1700841600,57.924855102040816
1700845200,57.19637346938775
1700848800,56.57583265306123
1700852400,56.75652653061225
1700856000,57.02305
1700859600,58.25652346938775
1700863200,59.16593673469388
1700866800,57.436506122448975
1700870400,52.86423775510204
1700874000,2.3745599999999993
1700877600,1.74216
1700881200,1.02024
1700884800,0.9779999999999998
1700888400,0.92436
1700892000,0.71436
1700895600,0.822
1700899200,0.8950799999999999
1700902800,0.91428
1700906400,0.8840399999999999
1700910000,1.1412000000000002
1700913600,1.5494400000000002
1700917200,1.42716
1700920800,1.2107999999999999
1700924400,1.30308
1700928000,1.77576
1700931600,2.25384
1700935200,2.3454
1700938800,2.29872
1700942400,1.9487999999999996
1700946000,1.96956
1700949600,1.8446399999999998
1700953200,2.2481999999999998
1700956800,51.635757142857145
1700960400,54.40679285714286
1700964000,52.66595
1700967600,56.53375
1700971200,57.00260306122449
1700974800,55.41249693877551
1700978400,54.95386734693877
1700982000,54.37041632653061
1700985600,53.12172653061224
1700989200,54.131710204081635
1700992800,54.0342306122449
1700996400,54.47740612244898
1701000000,53.447213265306125
1701003600,53.98026020408163
1701007200,52.6764112244898
1701010800,51.42891020408163
1701014400,51.6226806122449
1701018000,51.447692857142854
1701021600,51.61554795918367
1701025200,52.93580204081633
1701028800,52.359721428571426
1701032400,53.189011224489796
1701036000,53.22158367346939
1701039600,58.24154489795918
1701043200,57.277447959183675
1701046800,60.08533571428571
1701050400,58.13003775510204
1701054000,52.830476530612245
1701057600,52.19210408163265
1701061200,2.69304
1701064800,2.1260399999999997
1701068400,2.34348
1701072000,2.2452
1701075600,2.19084
1701079200,2.49612
1701082800,2.307
1701086400,51.02448877551021
1701090000,2.8373999999999997
1701093600,0.8864399999999999
1701097200,0.70272
1701100800,0.80244
1701104400,1.15764
1701108000,1.32288
1701111600,1.4844000000000002
1701115200,1.52436
1701118800,1.6641599999999999
1701122400,1.7628
1701126000,1.63428
1701129600,1.86528
1701133200,2.32368
1701136800,51.32382244897959
